message_id,date,sender,text,views,threat_level
msg_-1002375961275_11,2026-05-06T14:50:47+00:00,-1002375961275,"Hello,  We regret to inform you that the Cracked.ax domain has been suspended or disabled at the registry level. At this time, restoration is unlikely. However, we will continue exploring any possible options for recovery, including implementing a redirect if it becomes a possibility.  Our new domain is Cracked.st  Please also note that in case of similar incidents in the future, Cracked.sh will be used to redirect users to our active domains.  Thank you for your understanding and continued support.",6158,LOW
msg_-1002375961275_13,2026-05-07T15:16:14+00:00,-1002375961275,"Just a quick update:  cracked.ax was restored, we will continue to use cracked.st as primary domain.  Thank you for your understanding and continued support.",4844,LOW
msg_-1002375961275_3,2026-02-10T11:57:57+00:00,-1002375961275,"This morning, our domain registrar placed a client hold on our domain. They asked us to move the domain to another registrar, which they facilitated; however, before the transfer, they forgot to remove the client hold status. As a result, the status carried over to the new registrar. We have opened a support ticket with them and are waiting for the client hold to be lifted. The expected resolution time is 24 hours.",7530,LOW
msg_-1002375961275_4,2026-02-11T03:44:10+00:00,-1002375961275,"Hello, the issue has been resolved. Our domain is back up and working now!",6971,LOW
msg_-1002375961275_5,2026-02-15T08:02:33+00:00,-1002375961275,The website is back online. There was a small downtime of roughly 8 hours due to maintenance.,6100,LOW
msg_-1002375961275_6,2026-03-22T17:10:15+00:00,-1002375961275,"Dear Members,  We have received the following notice from our current registrar: they are unable to continue providing service for cracked.sh, and we are required to move the domain within 48 hours.  However, due to a recent transfer following suspension from our previous registrar, there is a 20-day ICANN lock period in place.  As a result, we will urgently need to change our main domain to Cracked.st. The reason for this is that identity.digital does not wish to host our website domain, and regardless of the registrar we use, they are likely to request suspension or force migration.  Our new domain will be Cracked.st. We will begin working on the migration internally as soon as possible. Users are advised to save their passwords, as they will need to log in again after the migration.  Please also join our Telegram group for any urgent updates regarding this matter.  While the .sh domain remains active, there will be a 301 redirect to guide users to the new domain. We will also attempt to request additional time from the registrar to keep it active until the ICANN lock period is lifted.  Thank you.",4585,LOW
msg_-1002375961275_7,2026-03-23T00:44:25+00:00,-1002375961275,"Dear Members,  Following up on our previous announcement, we have successfully migrated to Cracked.st and plan to keep it as our primary domain, provided conditions allow and the registrar agrees.  We will attempt to persuade the current registrar to keep the .sh domain active. However, we strongly encourage users to stay connected to our Telegram channel in case of any changes or if issues arise with the .st domain as well.  We will continue to monitor and address any technical issues resulting from this migration.  Thank you.",4787,LOW
msg_-1002375961275_8,2026-03-23T13:46:45+00:00,-1002375961275,"Dear Members,  Our domain, Cracked.st, has been disabled by the current registrar, as they require us to transfer to a different registrar entirely rather than simply changing the extension. We have initiated the transfer, and it is currently in a pending state.  Once the transfer is complete, the name servers will be updated and full functionality will be restored. At present, the website is accessible via the Cracked.sh domain; however, threads may not be visible because they are still hosted on the .st domain.  If the transfer is not completed within 12 hours, we may consider temporarily enabling thread visibility on the .sh domain, although this is not an optimal solution.  We apologize for the inconvenience. Unfortunately, this situation is beyond our control, as the registrar is unwilling to continue hosting, and there is also an ICANN transfer lock due to the recent transfer.  Thank you for your understanding.",5781,LOW
msg_-1002375961275_9,2026-03-24T16:09:48+00:00,-1002375961275,"Dear Members,  Our new primary domain will now be Cracked.ax, as the transfer of Cracked.st is taking longer than anticipated and we were given only 48 hours to migrate from the Cracked.sh domain.  From our side, traffic from Cracked.sh will be redirected to the new domain to maintain continuity. However, if the registrar proceeds with suspension and the domain cannot be transferred due to the ICANN lock, we may lose access to it for the duration of the lock period.  We understand that some of you may not prefer the new domain extension, but we believe this is the best available alternative under the circumstances.  Please keep an eye on our Telegram channel for further updates in case we encounter any issues with the new domain.  Additionally, kindly report any errors to the staff or in the forum’s bug section.  Thank you for your understanding.",7259,LOW
